Date Time O3_ref O3_p1 O3_gen
04/30/26 "06:52:00 PM" 120.763 122.175 120
04/30/26 "06:53:00 PM" 121.21 122.585 120
04/30/26 "06:54:00 PM" 120.787 122.63 120
04/30/26 "06:55:00 PM" 120.5 122.365 120
04/30/26 "06:56:00 PM" 120.887 121.997 120
04/30/26 "06:57:00 PM" 121.09 122.702 120
04/30/26 "06:58:00 PM" 121.073 123.552 120
04/30/26 "06:59:00 PM" 120.397 123.095 120
04/30/26 "07:00:00 PM" 120.71 122.758 120
04/30/26 "07:01:00 PM" 120.533 122.33 120
04/30/26 "07:02:00 PM" 120.803 122.63 120
04/30/26 "07:03:00 PM" 120.5 122.465 120
04/30/26 "07:04:00 PM" 120.233 122.137 120
04/30/26 "07:05:00 PM" 120.697 122.343 120
04/30/26 "07:06:00 PM" 120.493 122.703 120
04/30/26 "07:07:00 PM" 120.353 122.6 120
04/30/26 "07:08:00 PM" 120.503 122.548 120
04/30/26 "07:09:00 PM" 120.11 122.615 120
04/30/26 "07:10:00 PM" 120.37 122.63 120
04/30/26 "07:11:00 PM" 120.31 122.762 120
04/30/26 "07:12:00 PM" 120.783 122.377 120
04/30/26 "07:13:00 PM" 121.223 122.06 120
04/30/26 "07:14:00 PM" 120.887 122.637 120
04/30/26 "07:15:00 PM" 120.76 122.322 120
04/30/26 "07:16:00 PM" 120.477 123.135 120
04/30/26 "07:17:00 PM" 120.883 123.293 120
04/30/26 "07:18:00 PM" 120.997 123.245 120
04/30/26 "07:19:00 PM" 120.997 123.72 120
04/30/26 "07:20:00 PM" 120.543 123.557 120
04/30/26 "07:21:00 PM" 120.897 122.837 120
04/30/26 "07:22:00 PM" 120.59 122.943 120
04/30/26 "07:23:00 PM" 120.517 122.8 120
04/30/26 "07:24:00 PM" 119.99 122.473 120
04/30/26 "07:25:00 PM" 120.753 122.452 120
04/30/26 "07:26:00 PM" 120.973 122.972 120
04/30/26 "07:27:00 PM" 121.46 123.208 120
04/30/26 "07:28:00 PM" 121.227 123.167 120
04/30/26 "07:29:00 PM" 121.76 123.232 120
04/30/26 "07:30:00 PM" 120.877 122.795 120
04/30/26 "07:31:00 PM" 120.647 122.413 120
04/30/26 "07:32:00 PM" 121.467 122.942 120
04/30/26 "07:33:00 PM" 121.27 123.16 120
04/30/26 "07:34:00 PM" 120.587 123.57 120
04/30/26 "07:35:00 PM" 120.937 123.163 120
04/30/26 "07:36:00 PM" 120.743 122.543 120
04/30/26 "07:37:00 PM" 120.627 122.52 120
04/30/26 "07:38:00 PM" 121.233 123.1 120
04/30/26 "07:39:00 PM" 121.313 123.183 120
04/30/26 "07:40:00 PM" 120.82 122.705 120
04/30/26 "07:41:00 PM" 121.107 121.983 120
04/30/26 "07:42:00 PM" 121.143 122.487 120
04/30/26 "07:43:00 PM" 121.41 122.947 120
04/30/26 "07:44:00 PM" 121.52 122.948 120
04/30/26 "07:45:00 PM" 121.397 123.233 120
04/30/26 "07:46:00 PM" 121.36 123.233 120
04/30/26 "07:47:00 PM" 121.4 123.032 120
04/30/26 "07:48:00 PM" 121.653 123.187 120
04/30/26 "07:49:00 PM" 121.9 123.578 120
04/30/26 "07:50:00 PM" 121.51 123.403 120
04/30/26 "07:51:00 PM" 120.8 123.102 120
04/30/26 "07:52:00 PM" 120.467 122.592 120
04/30/26 "07:53:00 PM" 120.757 122.292 120
04/30/26 "07:54:00 PM" 121.213 122.482 120
04/30/26 "07:55:00 PM" 121.087 122.675 120
04/30/26 "07:56:00 PM" 120.703 123.382 120
04/30/26 "07:57:00 PM" 120.86 123.132 120
04/30/26 "07:58:00 PM" 120.68 123.287 120
04/30/26 "07:59:00 PM" 120.737 123.998 120
04/30/26 "08:00:00 PM" 120.667 123.23 120
04/30/26 "08:01:00 PM" 120.273 122.283 120
04/30/26 "08:02:00 PM" 121.257 123.365 120
04/30/26 "08:03:00 PM" 120.54 123.38 120
04/30/26 "08:04:00 PM" 121.067 122.675 120
04/30/26 "08:05:00 PM" 121.02 123.132 120
04/30/26 "08:06:00 PM" 120.713 122.555 120
04/30/26 "08:07:00 PM" 120.953 122.805 120
04/30/26 "08:08:00 PM" 121.1 123.267 120
04/30/26 "08:09:00 PM" 120.87 122.963 120
04/30/26 "08:10:00 PM" 121.123 123.123 120
04/30/26 "08:11:00 PM" 120.98 123.432 120
04/30/26 "08:12:00 PM" 120.663 122.928 120
04/30/26 "08:13:00 PM" 121.14 122.903 120
04/30/26 "08:14:00 PM" 121.937 123.748 120
04/30/26 "08:15:00 PM" 121.377 123.435 120
04/30/26 "08:16:00 PM" 121.145 122.507 120
04/30/26 "08:17:00 PM" 121.103 122.82 120
04/30/26 "08:18:00 PM" 120.81 123.013 120
04/30/26 "08:19:00 PM" 121.293 122.57 120
04/30/26 "08:20:00 PM" 121.31 122.975 120
04/30/26 "08:21:00 PM" 120.877 123.262 120
04/30/26 "08:22:00 PM" 121.443 123.357 120
04/30/26 "08:23:00 PM" 120.853 123.503 120
04/30/26 "08:24:00 PM" 120.267 122.643 120
04/30/26 "08:25:00 PM" 120.373 122.46 120
04/30/26 "08:26:00 PM" 120.983 122.5 120
04/30/26 "08:27:00 PM" 120.863 122.538 120
04/30/26 "08:28:00 PM" 120.68 122.655 120
04/30/26 "08:29:00 PM" 121.037 122.78 120
04/30/26 "08:30:00 PM" 121.83 123.385 120
04/30/26 "08:31:00 PM" 121.463 123.15 120
04/30/26 "08:32:00 PM" 121.73 122.565 120
04/30/26 "08:33:00 PM" 121.343 122.572 120
04/30/26 "08:34:00 PM" 121.2 123.452 120
04/30/26 "08:35:00 PM" 121.34 123.368 120
04/30/26 "08:36:00 PM" 121.89 123.177 120
04/30/26 "08:37:00 PM" 122.177 123.013 120
04/30/26 "08:38:00 PM" 121.83 123.467 120
04/30/26 "08:39:00 PM" 121.63 123.325 120
04/30/26 "08:40:00 PM" 121.057 123.215 120
04/30/26 "08:41:00 PM" 121.087 122.955 120
04/30/26 "08:42:00 PM" 121.49 122.975 120
04/30/26 "08:43:00 PM" 121.217 123.123 120
04/30/26 "08:44:00 PM" 121.853 123.448 120
